Make,Type,Mass (kg),CO2 Emissions (g/km),Engine Power (kW),Fuel Consumption
KIA,SPORTAGE,1526.0,153.0,110.0,1.0
BMW,550E XDRIVE,2230.0,20.0,230.0,0.9
OPEL,CORSA,1110.0,120.0,55.0,5.4
TOYOTA,TOYOTA COROLLA,1455.0,114.0,72.0,5.0
SKODA,KODIAQ,1787.0,150.0,110.0,5.7
CITROEN,BERLINGO,1505.0,138.0,75.0,5.3
SKODA,SUPERB,1850.0,9.0,110.0,0.4
CITROEN,C3 AIRCROSS,1291.0,135.0,81.0,6.0
HYUNDAI,I20,1165.0,122.0,74.0,5.4
VOLKSWAGEN,TAIGO,1263.0,128.0,85.0,5.6
VOLKSWAGEN,T-CROSS,1296.0,133.0,85.0,5.8
MERCEDES-BENZ,GLA 180,1570.0,156.0,100.0,6.9
DACIA,SANDERO,1203.0,106.0,67.0,6.6
MINI,COOPER C,1335.0,134.0,115.0,5.9
OPEL,CROSSLAND,1290.0,134.0,81.0,6.0
OPEL,ASTRA 5P GS 1.5D DTH AT8 S/S 130 CV (96KW),1438.0,129.0,96.0,5.0
AUDI,Q3 SPORTBACK,1655.0,133.0,110.0,5.1
LEXUS,LEXUS LBX,1355.0,103.0,69.0,4.5
DACIA,SANDERO,1182.0,126.0,81.0,5.6
FIAT,TIPO,1470.0,120.0,96.0,5.1
CITROEN,C3,1165.0,127.0,81.0,4.9
VOLKSWAGEN,T-CROSS,1296.0,132.0,85.0,7.3
VOLKSWAGEN  VW,PASSAT,1572.0,124.0,110.0,5.5
JEEP,COMPASS,1575.0,127.0,96.0,5.6
AUDI,Q3 SPORTBACK,1570.0,160.0,110.0,7.0
CUPRA,FORMENTOR,1482.0,132.0,110.0,5.8
VOLKSWAGEN. VW,TIGUAN,1866.0,10.0,110.0,0.5
MERCEDES-BENZ,GLA 220 4MATIC,1690.0,174.0,140.0,7.7
TOYOTA,TOYOTA AYGO X,1020.0,108.0,53.0,4.8
BMW,118I,1395.0,135.0,100.0,5.9
TOYOTA,TOYOTA YARIS,1165.0,91.0,68.0,4.0
TOYOTA,TOYOTA AYGO X,1040.0,111.0,53.0,4.9
SKODA,SCALA,1216.0,120.0,81.0,5.3
FIAT,PANDA,1045.0,113.0,52.0,5.0
JEEP,AVENGER,1255.0,129.0,74.0,5.7
SEAT,IBIZA,1178.0,124.0,85.0,5.5
PEUGEOT,208,1108.0,120.0,55.0,5.4
OPEL,ASTRA SPORTS TOURER,1483.0,131.0,96.0,5.0
TOYOTA,TOYOTA YARIS,1165.0,87.0,68.0,3.8
MERCEDES-AMG,AMG SL 63 4MATIC+,1970.0,298.0,430.0,13.1
CUPRA,CUPRA LEON SP,1486.0,133.0,110.0,5.8
TOYOTA,TOYOTA YARIS CROSS,1265.0,101.0,68.0,4.5
TOYOTA,TOYOTA AYGO X,1020.0,108.0,53.0,4.8
VOLVO,XC60,1967.0,173.0,145.0,6.6
HYUNDAI,KONA,1485.0,103.0,68.0,4.5
SKODA,OCTAVIA,1441.0,114.0,85.0,4.4
HYUNDAI,TUCSON IX35,1639.0,131.0,132.0,5.7
PEUGEOT,208,1108.0,120.0,55.0,5.4
SKODA,FABIA,1223.0,127.0,81.0,5.6
PEUGEOT,NUEVO 208 5P ALLURE PURETECH 100 S&S 6 VEL. MAN,1165.0,116.0,74.0,5.2
MERCEDES-BENZ,GLE 400 E 4MATIC,2645.0,22.0,185.0,1.0
TOYOTA,COROLLA,1596.0,118.0,112.0,3.9
FIAT,500X,1430.0,122.0,70.0,4.7
ALFA ROMEO,TONALE,1655.0,141.0,96.0,5.4
VOLKSWAGEN  VW,TIGUAN,1677.0,140.0,110.0,5.3
DACIA,SANDERO,1229.0,114.0,67.0,5.8
FIAT,500X,1480.0,129.0,96.0,5.7
FIAT,PANDA,1045.0,108.0,52.0,4.8
SKODA,KAROQ,1408.0,140.0,110.0,6.1
MAZDA,MAZDA CX-5,1732.0,171.0,143.0,7.6
TOYOTA,TOYOTA COROLLA,1515.0,107.0,112.0,4.8
VOLKSWAGEN,TAIGO,1263.0,128.0,85.0,5.6
VOLKSWAGEN VW,POLO,1201.0,130.0,81.0,5.7
OPEL,MOKKA,1275.0,127.0,100.0,5.6
VOLKSWAGEN VW,T-ROC,1578.0,196.0,221.0,8.6
CITROEN,C4 X,1364.0,129.0,96.0,5.7
BMW,X2 SDRIVE18D,1675.0,136.0,110.0,5.2
PEUGEOT,2008,1263.0,129.0,74.0,5.7
MERCEDES-BENZ,E 200,1825.0,151.0,150.0,6.7
DACIA,LOGAN,1168.0,117.0,67.0,7.3
TOYOTA,TOYOTA RAV4,1665.0,129.0,131.0,5.7
TOYOTA,TOYOTA COROLLA,1520.0,115.0,112.0,5.1
DACIA,SANDERO,1229.0,114.0,74.0,5.8
VOLKSWAGEN,TIGUAN,1677.0,139.0,110.0,5.3
MG,MG ZS,1334.0,149.0,82.0,6.6
FORD,FIESTA,1246.0,114.0,92.0,5.0
SUZUKI,IGNIS,985.0,121.0,61.0,5.4
LAND ROVER,DEFENDER,2515.0,232.0,147.0,8.8
VOLKSWAGEN VW,T-CROSS,1296.0,133.0,85.0,5.9
CITROEN,C3,1055.0,123.0,61.0,5.5
HYUNDAI,I 30,1412.0,123.0,118.0,5.4
SEAT,ARONA,1231.0,127.0,85.0,5.6
LANCIA,YPSILON,1075.0,110.0,52.0,4.9
SUZUKI,VITARA,1325.0,128.0,95.0,5.4
SEAT,SEAT ATECA,1413.0,149.0,110.0,6.6
TOYOTA,TOYOTA RAV4,1721.0,125.0,131.0,5.0
DACIA,SANDERO,1182.0,125.0,81.0,5.5
FORD,KUGA,1859.0,20.0,111.0,0.9
FORD,FOCUS,1555.0,184.0,206.0,8.0
PEUGEOT,308,1364.0,131.0,96.0,5.8
SKODA,KAROQ / 1.5 / TSI AUT.,1416.0,141.0,110.0,6.2
VOLKSWAGEN VW,T-ROC,1419.0,131.0,85.0,5.0
SKODA,SCALA,1259.0,124.0,110.0,5.6
TOYOTA,TOYOTA AYGO X,1040.0,111.0,53.0,4.9
MERCEDES-BENZ,V-KLASSE,2370.0,212.0,174.0,8.1
VOLKSWAGEN VW,PASSAT,1555.0,127.0,90.0,4.8
AUDI,S6 AVANT,2095.0,188.0,253.0,7.2
MERCEDES-BENZ,A 180 D,1530.0,132.0,85.0,5.0
TOYOTA,TOYOTA C-HR,1735.0,19.0,111.0,0.3
DACIA,DUSTER,1455.0,114.0,69.0,7.3
HYUNDAI,I10,994.0,110.0,49.0,4.9
VOLKSWAGEN VW,T-ROC,1355.0,146.0,110.0,6.5
BMW,330E,1910.0,168.0,135.0,7.4
TOYOTA,COROLLA,1515.0,105.0,112.0,4.6
FORD,TRANSIT CUSTOM,2209.0,195.0,100.0,7.4
DACIA,SANDERO,1170.0,126.0,67.0,5.5
SKODA,SCALA,1218.0,117.0,85.0,5.2
MAZDA,MAZDA CX-5,1800.0,173.0,110.0,6.6
LAND ROVER,RANGE ROVER SPORT,2390.0,199.0,183.0,7.6
CITROEN,C3,1226.0,126.0,74.0,5.6
SKODA,OCTAVIA,1477.0,118.0,110.0,4.5
RENAULT,CLIO,1213.0,116.0,67.0,5.2
KIA,XCEED,1472.0,129.0,100.0,4.9
CUPRA,FORMENTOR,1671.0,158.0,110.0,4.8
VOLKSWAGEN,TAIGO,1244.0,126.0,85.0,5.5
BMW,520D XDRIVE,1970.0,153.0,145.0,5.8
VOLVO,XC40,1688.0,145.0,120.0,5.0
VOLKSWAGEN VW,PASSAT,1586.0,147.0,147.0,5.6
CUPRA,FORMENTOR,1616.0,194.0,228.0,8.6
PEUGEOT,2008,1263.0,126.0,74.0,5.6
MERCEDES-BENZ,GLC 300 E 4MATIC,2355.0,12.0,150.0,0.5
VOLKSWAGEN,GOLF GTE,1627.0,27.0,110.0,1.2
AUDI,Q3 SPORTBACK E-TRON,1815.0,36.0,110.0,1.6
TOYOTA,TOYOTA GR YARIS,1355.0,197.0,206.0,8.7
AUDI,S5 CABRIOLET,1915.0,209.0,260.0,9.2
HYUNDAI,TUCSON,1553.0,147.0,117.0,6.5
SEAT,ARONA,1191.0,124.0,70.0,5.5
PEUGEOT,N2008 ALLURE PURETECH 100 S&S 6 VEL. MAN,1263.0,123.0,74.0,5.7
VOLKSWAGEN,POLO,1165.0,117.0,70.0,5.2
KIA,NIRO,1474.0,101.0,77.0,4.4
HYUNDAI,STARIA,2372.0,232.0,130.0,8.9
HYUNDAI,I 30,1412.0,152.0,103.0,6.7
PEUGEOT,408,1771.0,31.0,110.0,1.4
PEUGEOT,308,1436.0,128.0,96.0,4.9
HYUNDAI,I20,1165.0,121.0,73.0,5.3
VOLKSWAGEN VW,CADDY,1544.0,152.0,85.0,6.7
AUDI,A3 SPORTBACK,1360.0,134.0,85.0,5.9
RENAULT,CLIO,1187.0,118.0,67.0,5.2
PEUGEOT,208,1108.0,120.0,55.0,5.4
BMW,X1 M35I XDRIVE,1740.0,178.0,221.0,7.9
FORD,FIESTA,1211.0,119.0,69.0,5.3
VOLKSWAGEN VW,TIGUAN,1729.0,184.0,140.0,8.1
VOLKSWAGEN VW,TOURAN,1564.0,157.0,110.0,6.9
TOYOTA,COROLLA,1475.0,107.0,72.0,4.8
KIA,SPORTAGE,1649.0,132.0,118.0,5.8
TOYOTA,YARIS,1125.0,125.0,92.0,5.3
SKODA,KAROQ,1416.0,142.0,110.0,6.2
MERCEDES-BENZ,GLC 200,2083.0,159.0,150.0,6.5
FIAT,PANDA,1055.0,109.0,52.0,4.8
MITSUBISHI,MITSUBISHI SPACE STAR,950.0,116.0,52.0,5.1
BMW,X3 XDRIVE 20D,1915.0,162.0,140.0,6.2
SUZUKI,VITARA,1320.0,132.0,95.0,5.8
SKODA,KODIAQ,1853.0,169.0,142.0,6.4
VOLVO,XC60,1869.0,166.0,145.0,6.8
RENAULT,TWINGO,993.0,117.0,48.0,5.2
FORD,KUGA,1844.0,22.0,112.0,1.0
MERCEDES-BENZ,A 180 D,1530.0,134.0,85.0,5.1
OPEL,CROSSLAND,1290.0,117.0,81.0,2.0
TOYOTA,TOYOTA AYGO X,1030.0,110.0,53.0,4.8
VOLKSWAGEN,POLO,1138.0,124.0,59.0,5.5
BMW,X1 XDRIVE25E,1930.0,16.0,100.0,0.7
SKODA,KAMIQ,1254.0,128.0,85.0,5.7
BMW,118I,1395.0,132.0,100.0,5.8
VOLKSWAGEN VW,PASSAT,1573.0,124.0,110.0,5.5
RENAULT,CAPTUR,1274.0,132.0,67.0,5.9
AUDI,A3 SPORTBACK,1395.0,131.0,110.0,5.8
TOYOTA,TOYOTA YARIS CROSS,1265.0,102.0,68.0,4.5
AUDI,SQ8,2315.0,286.0,373.0,12.6
SKODA,SCALA,1216.0,119.0,85.0,5.3
MERCEDES-AMG,AMG GT 63 4MATIC+,1970.0,319.0,430.0,14.1
DACIA,SANDERO,1171.0,126.0,67.0,5.6
TOYOTA,TOYOTA COROLLA,1430.0,99.0,72.0,7.3
RENAULT,CLIO,1270.0,109.0,74.0,4.1
RENAULT,RAFALE,1735.0,107.0,96.0,4.7
CITROEN,C4,1353.0,133.0,96.0,5.9
BMW,X6 XDRIVE30D M SPORT,2295.0,187.0,210.0,7.1
TOYOTA,TOYOTA YARIS CROSS,1290.0,112.0,68.0,5.0
RENAULT,CLIO,1191.0,121.0,67.0,5.4
DACIA,LOGAN,1163.0,115.0,67.0,7.3
HYUNDAI,TUCSON IX35,1500.0,155.0,110.0,6.8
CITROEN,C3,1055.0,123.0,61.0,5.5
SKODA,OCTAVIA,1403.0,112.0,110.0,4.9
AUDI,Q2,1380.0,141.0,110.0,6.2
SUZUKI,VITARA,1325.0,128.0,95.0,5.4
PEUGEOT,208,1108.0,120.0,55.0,5.4
FORD,FOCUS,1406.0,120.0,91.0,5.3
BMW,118I,1365.0,129.0,100.0,5.7
RENAULT,CLIO,1240.0,121.0,74.0,5.2
VOLKSWAGEN,POLO,1165.0,120.0,70.0,5.3
DACIA,SANDERO,1197.0,140.0,67.0,6.2
MERCEDES-BENZ,A 250 E,1705.0,17.0,120.0,0.7
PEUGEOT,2008,1280.0,133.0,96.0,5.9
OPEL,MOKKA,1270.0,128.0,74.0,5.7
VOLKSWAGEN VW,TAIGO,1292.0,135.0,110.0,5.9
PEUGEOT,2008,1372.0,110.0,100.0,4.9
AUDI,Q2,1455.0,125.0,85.0,4.8
DACIA,JOGGER,1327.0,119.0,74.0,7.8
VOLKSWAGEN VW,TAIGO,1302.0,133.0,110.0,5.8
BMW,320I,1660.0,160.0,135.0,7.1
TOYOTA,PROACE VERSO,2139.0,180.0,130.0,4.9
SKODA,SCALA,1237.0,123.0,85.0,5.4
RENAULT,AUSTRAL,1508.0,141.0,116.0,6.2
VOLKSWAGEN,GOLF,1304.0,118.0,81.0,7.3
SKODA,FABIA,1133.0,119.0,59.0,5.2
AUDI,Q2,1380.0,135.0,110.0,5.9
VOLVO,V90,1894.0,150.0,145.0,5.7
RENAULT,SYMBIOZ,1498.0,106.0,69.0,4.7
VOLKSWAGEN VW,MULTIVAN,2048.0,200.0,150.0,8.8
SKODA,OCTAVIA,1342.0,124.0,110.0,5.5
SUZUKI,SWIFT,994.0,99.0,60.0,4.4
CUPRA,CUPRA ATECA,1449.0,154.0,110.0,6.7
CITROEN,C3 AIRCROSS,1310.0,145.0,96.0,6.4
AUDI,A3 SPORTBACK,1400.0,127.0,110.0,5.6
MERCEDES-BENZ,GLC 200 4MATIC,2024.0,159.0,150.0,7.2
HYUNDAI,TUCSON,1650.0,134.0,117.0,5.9
RENAULT,AUSTRAL,1592.0,105.0,96.0,4.7
VOLKSWAGEN,GOLF,1349.0,128.0,110.0,5.4
SKODA,KAMIQ,1255.0,128.0,85.0,5.7
TOYOTA,TOYOTA YARIS,1165.0,88.0,68.0,3.9
VOLKSWAGEN,TAIGO,1229.0,126.0,70.0,5.6
MITSUBISHI,COLT,1172.0,117.0,67.0,5.2
HONDA,HR-V,1465.0,122.0,79.0,5.4
NISSAN,NISSAN JUKE,1286.0,139.0,84.0,6.1
BMW,X1 SDRIVE20I,1625.0,128.0,115.0,5.7
TOYOTA,COROLLA,1521.0,96.0,72.0,5.0
CITROEN,C3,1226.0,128.0,74.0,5.7
KIA,SPORTAGE,1649.0,127.0,117.0,5.6
VOLVO,V60,2064.0,17.0,186.0,0.8
RENAULT,ARKANA E-TECH,1510.0,108.0,69.0,4.8
NISSAN,NISSAN JUKE,1405.0,111.0,69.0,4.9
PEUGEOT,208,1303.0,104.0,100.0,4.6
KIA,SPORTAGE,1715.0,144.0,117.0,6.3
VOLKSWAGEN VW,T-ROC,1561.0,146.0,110.0,5.6
AUDI,A3 SPORTBACK,1485.0,133.0,110.0,5.1
JAGUAR,JAGUAR E-PACE,2202.0,34.0,147.0,1.5
FIAT,PANDA,1045.0,113.0,51.0,5.0
NISSAN,QASHQAI,1514.0,141.0,116.0,6.4
HYUNDAI,KONA,1485.0,106.0,77.0,4.7
VOLVO,XC60,2150.0,23.0,186.0,1.0
MERCEDES-BENZ,E 220 D 4MATIC,1975.0,130.0,145.0,5.3
FORD,PUMA,1373.0,129.0,92.0,5.7
MAZDA,MAZDA2,1112.0,107.0,66.0,4.7
FORD,PUMA,1315.0,121.0,91.0,5.4
CUPRA,FORMENTOR,1482.0,135.0,110.0,6.0
DS,DS 3,1358.0,136.0,96.0,5.2
SKODA,KODIAQ,1733.0,140.0,110.0,5.4
CUPRA,FORMENTOR,1641.0,200.0,245.0,8.8
VOLKSWAGEN VW,GOLF,1449.0,119.0,110.0,4.5
TOYOTA,TOYOTA RAV4,1665.0,128.0,131.0,5.7
VOLKSWAGEN VW,T-ROC,1355.0,142.0,110.0,6.3
CITROEN,C3,1165.0,120.0,81.0,5.3
BMW,X1 XDRIVE30E,1935.0,18.0,110.0,0.8
TOYOTA,TOYOTA COROLLA,1515.0,104.0,112.0,4.6
FORD,FOCUS,1444.0,121.0,114.0,5.3
AUDI,Q7,2408.0,198.0,210.0,8.4
VOLKSWAGEN VW,PASSAT,1765.0,154.0,142.0,5.9
MERCEDES-BENZ,C 220 D,1745.0,119.0,147.0,4.5
PEUGEOT,2008,1280.0,137.0,96.0,6.1
MAZDA,MAZDA2,1112.0,107.0,66.0,4.7
SKODA,KAMIQ,1289.0,130.0,110.0,5.8
MERCEDES BENZ,C 300 DE,2205.0,12.0,145.0,0.5
CUPRA,FORMENTOR,1641.0,198.0,245.0,8.7
OPEL,CROSSLAND,1290.0,131.0,81.0,5.8
BMW,320E,1900.0,32.0,120.0,1.4
MINI,COOPER,1395.0,136.0,115.0,6.1
FORD,FOCUS,1511.0,128.0,91.0,5.7
MITSUBISHI,ASX,1382.0,128.0,116.0,5.7
RENAULT,TRAFIC,2108.0,186.0,110.0,7.1
SEAT,TARRACO,1724.0,145.0,110.0,5.5
NISSAN,NISSAN QASHQAI,1404.0,142.0,103.0,6.3
DR,EVO3,1230.0,152.0,83.0,6.7
MERCEDES-BENZ,AMG GLE 53 HYBRID,2800.0,31.0,330.0,1.4
VOLKSWAGEN VW,GOLF,1448.0,111.0,96.0,6.2
MAZDA,MAZDA2,1112.0,107.0,66.0,4.7
DACIA,SANDERO,1228.0,114.0,74.0,5.8
FORD,PUMA,1301.0,122.0,92.0,5.4
AUDI,Q3,1695.0,188.0,140.0,8.2
VOLKSWAGEN VW,T-ROC,1539.0,149.0,110.0,6.5
OPEL,CROSSLAND,1312.0,142.0,96.0,6.3
NISSAN,NISSAN QASHQAI,1545.0,145.0,116.0,6.4
AUDI,A3 SPORTBACK,1400.0,131.0,110.0,5.8
OPEL,CORSA,1110.0,120.0,55.0,5.3
VOLKSWAGEN,T-CROSS,1296.0,133.0,85.0,5.8
TOYOTA,YARIS CROSS,1250.0,102.0,68.0,7.3
LAND ROVER,RANGE ROVER,2770.0,17.0,294.0,0.8
HYUNDAI,I20,1196.0,121.0,74.0,5.3
LYNK&CO,LYNK & CO 01,1954.0,24.0,132.0,1.0
PEUGEOT,NUEVO 2008 ALLURE PURETECH 100 S&S 6 VEL. MAN,1263.0,126.0,74.0,5.7
TOYOTA,TOYOTA YARIS CROSS,1265.0,101.0,68.0,4.5
VOLVO,V90,2075.0,19.0,186.0,0.8
KIA,NIRO,1594.0,19.0,69.0,0.8
PEUGEOT,2008,1372.0,113.0,100.0,5.0
TOYOTA,TOYOTA YARIS CROSS,1265.0,103.0,68.0,4.5
RENAULT,MEGANE,1442.0,117.0,85.0,7.3
MERCEDES-BENZ,AMG A 35 4MATIC,1655.0,191.0,225.0,8.4
RENAULT,CAPTUR,1332.0,118.0,74.0,6.0
RENAULT,CLIO,1178.0,121.0,67.0,5.3
VOLKSWAGEN,T-ROC,1355.0,138.0,110.0,6.0
KIA,XCEED,1400.0,142.0,103.0,6.3
VOLVO,XC90,2297.0,28.0,228.0,1.2
AUDI,A6 LIMOUSINE,1780.0,154.0,150.0,5.9
DACIA,SANDERO,1173.0,129.0,67.0,5.7
FORD,PUMA,1315.0,121.0,91.0,5.4
MG,MG HS,1675.0,173.0,125.0,1.0
KIA,SPORTAGE,1649.0,131.0,132.0,5.7
RENAULT,CLIO E-TECH HYBRID,1348.0,96.0,69.0,4.3
OPEL,MOKKA,1275.0,128.0,100.0,5.7
DACIA,DUSTER,1342.0,141.0,110.0,6.2
HYUNDAI,TUCSON IX35,1500.0,155.0,110.0,6.8
RENAULT,SYMBIOZ,1498.0,106.0,69.0,4.7
DACIA,DUSTER,1429.0,125.0,85.0,4.8
TOYOTA,TOYOTA YARIS,1147.0,120.0,92.0,5.5
SKODA,KODIAQ,1846.0,170.0,142.0,6.5
CUPRA,FORMENTOR,1458.0,152.0,110.0,6.7
SEAT,IBIZA,1168.0,125.0,85.0,5.5
RENAULT,CLIO,1119.0,120.0,49.0,5.3
RENAULT,CAPTUR,1373.0,134.0,103.0,5.9
BMW,520D,1855.0,137.0,140.0,5.3
PEUGEOT,2008,1280.0,136.0,96.0,6.0
AUDI,A6 AVANT,1785.0,180.0,195.0,7.9
DACIA,DUSTER,1429.0,125.0,85.0,4.8
SEAT,ARONA,1231.0,127.0,85.0,5.6
BMW,218D ACTIVE TOURER U06 B47,1620.0,126.0,110.0,4.8
MAZDA,MAZDA CX-5,1801.0,173.0,135.0,6.6
HYUNDAI,TUCSON,1606.0,132.0,100.0,5.0
FIAT,PANDA,1045.0,112.0,52.0,4.9
DACIA,DUSTER,1455.0,114.0,69.0,5.0
AUDI,Q3 SPORTBACK,1570.0,153.0,110.0,6.7
AUDI,Q8,2235.0,226.0,210.0,8.6
MERCEDES-BENZ,V-KLASSE,2220.0,218.0,174.0,8.3
JAGUAR,JAGUAR F-TYPE,1903.0,242.0,331.0,10.6
AUDI,SQ8,2315.0,285.0,373.0,12.6
VOLKSWAGEN,POLO,1138.0,122.0,59.0,5.4
AUDI,Q3,1655.0,143.0,110.0,5.4
MITSUBISHI,MITSUBISHI SPACE STAR,950.0,116.0,52.0,5.1
DS,DS 3,1278.0,129.0,74.0,5.7
PORSCHE,718 CAYMAN GT4 RS,1490.0,295.0,368.0,13.0
SKODA,OCTAVIA,1568.0,109.0,110.0,4.3
FIAT,PANDA,1045.0,108.0,52.0,4.8
MERCEDES-BENZ,AMG C 43 4MATIC+,1840.0,203.0,300.0,9.0
JEEP,AVENGER,1355.0,111.0,74.0,4.9
TOYOTA,TOYOTA YARIS CROSS,1265.0,102.0,68.0,4.5
TOYOTA,TOYOTA YARIS,1160.0,92.0,68.0,4.0
MG,MG HS,1610.0,174.0,119.0,7.6
BMW,X1 SDRIVE20I,1625.0,131.0,115.0,5.8
VOLKSWAGEN,TAIGO,1217.0,124.0,70.0,5.5
BMW,X6 XDRIVE 30D M SPORT,2295.0,188.0,210.0,7.2
VOLVO,XC60,2150.0,25.0,186.0,1.1
BMW,X1 XDRIVE25E,1930.0,18.0,100.0,0.8
VOLKSWAGEN VW,POLO,1201.0,134.0,81.0,5.9
FORD,KUGA,1844.0,23.0,112.0,1.0
OPEL,GRANDLAND,1461.0,145.0,96.0,6.4
SKODA,OCTAVIA,1429.0,110.0,85.0,4.2
PEUGEOT,208,1165.0,116.0,74.0,5.2
TOYOTA,TOYOTA COROLLA,1580.0,121.0,112.0,5.4
VOLKSWAGEN,T-CROSS,1254.0,129.0,70.0,5.7
BMW,320E,1900.0,34.0,120.0,1.5
TOYOTA,TOYOTA COROLLA,1455.0,114.0,72.0,5.0
CITROEN,C4,1322.0,124.0,96.0,5.5
FORD,TOURNEO COURIER,1448.0,154.0,92.0,6.8
SUZUKI,SWIFT,994.0,99.0,61.0,4.4
FIAT,600,1355.0,109.0,74.0,4.8
TOYOTA,TOYOTA YARIS CROSS,1250.0,100.0,68.0,4.4
SKODA,FABIA,1133.0,119.0,59.0,5.2
RENAULT,CAPTUR,1373.0,134.0,116.0,5.9
RENAULT,KANGOO,1550.0,155.0,75.0,6.8
TOYOTA,TOYOTA YARIS,1165.0,87.0,68.0,3.8
FIAT,PANDA,1045.0,109.0,52.0,4.8
KIA,NIRO,1474.0,100.0,77.0,4.4
BMW,320D,1670.0,133.0,140.0,5.1
RENAULT,CLIO,1247.0,109.0,74.0,5.4
KIA,SPORTAGE/ANNIVERSARY/1.6 TGDI,1580.0,142.0,118.0,6.3
BMW,120,1500.0,121.0,115.0,5.3
FIAT,500X,1430.0,127.0,70.0,4.9
FORD,FOCUS,1507.0,131.0,85.0,5.0
HYUNDAI,TUCSON,1606.0,139.0,118.0,6.0
NISSAN,NISSAN JUKE,1286.0,137.0,84.0,6.0
BMW,520D,1910.0,143.0,145.0,5.4
SKODA,KAROQ,1456.0,127.0,110.0,6.2
PEUGEOT,2008,1345.0,131.0,96.0,5.0
MINI,COOPER C,1395.0,137.0,115.0,6.1
VOLKSWAGEN VW,TOURAN,1631.0,142.0,110.0,5.4
AUDI,S3 SPORTBACK,1610.0,194.0,245.0,8.5
MERCEDES-BENZ,V-KLASSE,2370.0,214.0,174.0,8.1
PEUGEOT,5008,1627.0,131.0,100.0,5.8
VOLKSWAGEN,T-CROSS,1254.0,128.0,70.0,5.7
VOLVO,XC60,2150.0,25.0,186.0,1.1
DACIA,SANDERO,1090.0,120.0,49.0,5.3
SKODA,SCALA,1199.0,118.0,70.0,5.2
MERCEDES BENZ,B 180 D,1580.0,137.0,85.0,5.2
OPEL,CORSA,1110.0,120.0,55.0,5.4
HYUNDAI,KONA KAUAI,1395.0,129.0,88.0,5.7
SKODA,KAROQ,1408.0,141.0,110.0,6.2
VOLKSWAGEN,T-ROC,1355.0,138.0,110.0,6.0
DACIA,LOGAN,1168.0,117.0,67.0,7.3
SUZUKI,VITARA,1270.0,120.0,95.0,5.0
SEAT,IBIZA,1144.0,118.0,70.0,5.2
SKODA,KODIAQ,1725.0,183.0,140.0,8.0
SKODA,FABIA,1128.0,118.0,59.0,5.2
NISSAN,NISSAN QASHQAI,1685.0,119.0,116.0,5.3
DACIA,DUSTER,1372.0,126.0,74.0,6.4
FORD,TOURNEO CONNECT,1695.0,121.0,90.0,4.4
DACIA,SANDERO,1090.0,121.0,49.0,5.3
MG,MG3 HYBRID+,1383.0,100.0,75.0,4.4
VOLKSWAGEN,T-CROSS,1290.0,142.0,81.0,6.3
RENAULT,CLIO,1178.0,118.0,67.0,5.2
SKODA,KAROQ / 1.5 / TSI,1408.0,139.0,110.0,6.1
CUPRA,FORMENTOR VZ E-HYBRID,1701.0,32.0,110.0,1.5
TOYOTA,TOYOTA YARIS CROSS,1250.0,101.0,68.0,4.5
OPEL,GRANDLAND,1807.0,28.0,133.0,1.2
VOLKSWAGEN VW,T-ROC,1355.0,142.0,110.0,6.2
VOLKSWAGEN,POLO,1196.0,127.0,70.0,5.6
OPEL,ASTRA,1454.0,101.0,100.0,5.4
DACIA,DUSTER,1342.0,141.0,110.0,6.2
KIA,XCEED,1400.0,141.0,103.0,6.2
RENAULT,CLIO,1178.0,118.0,67.0,5.2
VOLVO,XC60,2150.0,25.0,228.0,1.1
TOYOTA,TOYOTA COROLLA,1515.0,104.0,112.0,4.6
AUDI,Q3 SPORTBACK E-TRON,1815.0,31.0,110.0,14.0
SKODA,OCTAVIA,1480.0,124.0,110.0,4.7
VOLVO,XC60,2150.0,24.0,186.0,1.0
CUPRA,FORMENTOR,1616.0,193.0,228.0,8.5
DACIA,DUSTER,1455.0,114.0,69.0,5.1
KIA,CEED,1335.0,135.0,74.0,5.9
KIA,SPORTAGE,1526.0,152.0,110.0,6.7
TOYOTA,TOYOTA COROLLA,1455.0,115.0,72.0,5.0
TOYOTA,TOYOTA YARIS CROSS,1295.0,109.0,68.0,4.8
SKODA,KAROQ,1586.0,176.0,140.0,7.7
FORD,KUGA,1912.0,21.0,111.0,0.9
NISSAN,NISSAN JUKE,1400.0,112.0,69.0,4.9
OPEL,ASTRA SPORTS TOURER,1483.0,132.0,96.0,5.0
VOLVO,XC60,2150.0,29.0,228.0,1.2
KIA,CEED,1409.0,130.0,88.0,6.0
CITROEN,C4,1399.0,129.0,96.0,4.9
TOYOTA,TOYOTA COROLLA,1420.0,106.0,72.0,4.7
CITROEN,BERLINGO,1546.0,145.0,96.0,5.5
AUDI,Q2,1380.0,140.0,110.0,6.1
SEAT,ARONA,1235.0,138.0,81.0,6.1
VOLKSWAGEN VW,CADDY,1610.0,130.0,75.0,5.0
KIA,XCEED,1347.0,137.0,74.0,6.1
BMW,X1 SDRIVE18I,1575.0,146.0,100.0,6.5
VOLKSWAGEN VW,GOLF,1466.0,165.0,195.0,7.2
MG,MG ZS,1314.0,149.0,78.0,6.6
FORD,PUMA,1326.0,122.0,92.0,5.4
MAZDA,MAZDA MX-5,1078.0,140.0,97.0,6.2
MERCEDES-BENZ,GLE 400 E 4MATIC,2743.0,221.0,185.0,9.3
RENAULT,MEGANE,1415.0,135.0,103.0,6.0
